metis_server_id,label_id,img_count
,,count
0,0,500
0,1,652
0,2,503
0,3,348
0,4,501
0,5,492
0,6,495
0,7,503
0,8,494
0,9,492
1,0,641
1,1,648
1,2,641
1,3,493
1,4,351
1,5,350
1,6,509
1,7,494
1,8,350
1,9,503
2,0,652
2,1,497
2,2,498
2,3,505
2,4,490
2,5,339
2,6,357
2,7,504
2,8,498
2,9,640
3,0,341
3,1,336
3,2,357
3,3,499
3,4,509
3,5,647
3,6,642
3,7,509
3,8,641
3,9,499
4,0,351
4,1,350
4,2,493
4,3,796
4,4,505
4,5,497
4,6,499
4,7,492
4,8,501
4,9,496
5,0,810
5,1,514
5,2,510
5,3,364
5,4,513
5,5,528
5,6,525
5,7,514
5,8,519
5,9,383
6,0,498
6,1,644
6,2,649
6,3,352
6,4,346
6,5,661
6,6,484
6,7,495
6,8,353
6,9,498
7,0,496
7,1,657
7,2,498
7,3,497
7,4,496
7,5,354
7,6,492
7,7,499
7,8,502
7,9,489
8,0,357
8,1,341
8,2,358
8,3,499
8,4,642
8,5,639
8,6,499
8,7,496
8,8,650
8,9,499
9,0,354
9,1,361
9,2,493
9,3,647
9,4,647
9,5,493
9,6,498
9,7,494
9,8,492
9,9,501
