metis_server_id,label_id,img_count
,,count
0,0,168
0,1,166
0,2,170
0,3,165
0,4,165
0,5,170
0,6,162
0,7,163
0,8,165
0,9,166
1,0,166
1,1,164
1,2,165
1,3,164
1,4,167
1,5,167
1,6,169
1,7,168
1,8,165
1,9,165
2,0,164
2,1,168
2,2,166
2,3,166
2,4,165
2,5,165
2,6,162
2,7,167
2,8,168
2,9,169
3,0,166
3,1,166
3,2,167
3,3,171
3,4,165
3,5,168
3,6,162
3,7,164
3,8,164
3,9,167
4,0,165
4,1,168
4,2,168
4,3,164
4,4,167
4,5,162
4,6,166
4,7,165
4,8,171
4,9,164
5,0,165
5,1,167
5,2,167
5,3,163
5,4,164
5,5,168
5,6,170
5,7,165
5,8,164
5,9,167
6,0,166
6,1,164
6,2,169
6,3,169
6,4,165
6,5,170
6,6,165
6,7,165
6,8,162
6,9,165
7,0,168
7,1,168
7,2,164
7,3,165
7,4,169
7,5,163
7,6,164
7,7,167
7,8,164
7,9,168
8,0,164
8,1,167
8,2,166
8,3,167
8,4,169
8,5,168
8,6,168
8,7,165
8,8,164
8,9,162
9,0,165
9,1,163
9,2,165
9,3,164
9,4,169
9,5,166
9,6,169
9,7,165
9,8,171
9,9,163
10,0,166
10,1,166
10,2,167
10,3,171
10,4,165
10,5,167
10,6,165
10,7,164
10,8,168
10,9,161
11,0,165
11,1,166
11,2,169
11,3,167
11,4,165
11,5,168
11,6,164
11,7,164
11,8,167
11,9,165
12,0,168
12,1,165
12,2,165
12,3,166
12,4,164
12,5,166
12,6,167
12,7,167
12,8,163
12,9,169
13,0,168
13,1,167
13,2,165
13,3,164
13,4,168
13,5,166
13,6,167
13,7,167
13,8,162
13,9,166
14,0,168
14,1,161
14,2,167
14,3,165
14,4,165
14,5,163
14,6,172
14,7,169
14,8,163
14,9,167
15,0,164
15,1,164
15,2,165
15,3,166
15,4,172
15,5,163
15,6,166
15,7,166
15,8,168
15,9,166
16,0,168
16,1,164
16,2,165
16,3,161
16,4,163
16,5,166
16,6,169
16,7,171
16,8,168
16,9,165
17,0,163
17,1,165
17,2,165
17,3,162
17,4,166
17,5,167
17,6,166
17,7,166
17,8,170
17,9,170
18,0,168
18,1,167
18,2,164
18,3,169
18,4,165
18,5,165
18,6,165
18,7,168
18,8,166
18,9,163
19,0,169
19,1,165
19,2,166
19,3,165
19,4,162
19,5,167
19,6,168
19,7,166
19,8,163
19,9,169
20,0,167
20,1,170
20,2,167
20,3,164
20,4,163
20,5,164
20,6,166
20,7,167
20,8,167
20,9,165
21,0,168
21,1,165
21,2,168
21,3,168
21,4,167
21,5,162
21,6,166
21,7,166
21,8,165
21,9,165
22,0,162
22,1,171
22,2,169
22,3,163
22,4,164
22,5,164
22,6,166
22,7,166
22,8,170
22,9,165
23,0,171
23,1,166
23,2,165
23,3,166
23,4,168
23,5,165
23,6,165
23,7,164
23,8,167
23,9,163
24,0,166
24,1,163
24,2,164
24,3,168
24,4,164
24,5,167
24,6,164
24,7,166
24,8,172
24,9,166
25,0,162
25,1,166
25,2,166
25,3,163
25,4,163
25,5,170
25,6,165
25,7,168
25,8,164
25,9,173
26,0,165
26,1,164
26,2,167
26,3,164
26,4,168
26,5,165
26,6,167
26,7,166
26,8,165
26,9,169
27,0,164
27,1,167
27,2,162
27,3,168
27,4,165
27,5,172
27,6,165
27,7,163
27,8,165
27,9,169
28,0,164
28,1,170
28,2,165
28,3,168
28,4,168
28,5,161
28,6,164
28,7,170
28,8,168
28,9,162
29,0,163
29,1,166
29,2,165
29,3,168
29,4,168
29,5,168
29,6,166
29,7,167
29,8,166
29,9,163
