metis_server_id,label_id,img_count
,,count
0,0,175
0,1,322
0,2,325
0,3,173
0,4,321
0,5,174
0,6,324
0,7,177
0,8,329
0,9,170
1,0,322
1,1,329
1,2,174
1,3,323
1,4,179
1,5,172
1,6,178
1,7,323
1,8,168
1,9,322
2,0,329
2,1,325
2,2,318
2,3,180
2,4,179
2,5,319
2,6,171
2,7,170
2,8,176
2,9,323
3,0,176
3,1,172
3,2,184
3,3,175
3,4,168
3,5,319
3,6,336
3,7,322
3,8,319
3,9,319
4,0,336
4,1,186
4,2,182
4,3,188
4,4,505
4,5,203
4,6,195
4,7,345
4,8,348
4,9,202
5,0,324
5,1,316
5,2,178
5,3,320
5,4,175
5,5,468
5,6,179
5,7,175
5,8,175
5,9,180
6,0,180
6,1,185
6,2,319
6,3,330
6,4,314
6,5,328
6,6,317
6,7,179
6,8,169
6,9,169
7,0,315
7,1,325
7,2,330
7,3,173
7,4,176
7,5,172
7,6,172
7,7,324
7,8,173
7,9,330
8,0,172
8,1,184
8,2,323
8,3,314
8,4,179
8,5,178
8,6,324
8,7,176
8,8,324
8,9,316
9,0,321
9,1,173
9,2,171
9,3,326
9,4,317
9,5,187
9,6,326
9,7,321
9,8,173
9,9,175
10,0,320
10,1,324
10,2,324
10,3,325
10,4,178
10,5,178
10,6,168
10,7,173
10,8,181
10,9,319
11,0,321
11,1,180
11,2,174
11,3,175
11,4,172
11,5,166
11,6,325
11,7,317
11,8,470
11,9,190
12,0,182
12,1,319
12,2,316
12,3,328
12,4,167
12,5,177
12,6,324
12,7,175
12,8,328
12,9,174
13,0,174
13,1,177
13,2,173
13,3,320
13,4,327
13,5,321
13,6,181
13,7,322
13,8,321
13,9,174
14,0,180
14,1,174
14,2,323
14,3,325
14,4,321
14,5,322
14,6,313
14,7,175
14,8,178
14,9,179
15,0,169
15,1,323
15,2,326
15,3,177
15,4,324
15,5,321
15,6,175
15,7,179
15,8,319
15,9,177
16,0,323
16,1,317
16,2,184
16,3,178
16,4,171
16,5,173
16,6,320
16,7,325
16,8,180
16,9,319
17,0,327
17,1,316
17,2,171
17,3,167
17,4,176
17,5,174
17,6,174
17,7,332
17,8,182
17,9,471
18,0,177
18,1,174
18,2,330
18,3,171
18,4,326
18,5,322
18,6,324
18,7,179
18,8,316
18,9,171
19,0,177
19,1,179
19,2,175
19,3,332
19,4,325
19,5,326
19,6,174
19,7,311
19,8,171
19,9,320
