metis_server_id,label_id,img_count
,,count
0,0,234
0,1,1210
0,2,412
0,3,620
0,4,942
0,5,2
0,6,590
0,7,641
0,8,765
0,9,584
1,0,594
1,1,1209
1,2,413
1,3,427
1,4,588
1,5,541
1,6,410
1,7,640
1,8,761
1,9,417
2,0,582
2,1,331
2,2,243
2,3,616
2,4,580
2,5,723
2,6,769
2,7,617
2,8,945
2,9,594
3,0,788
3,1,317
3,2,775
3,3,622
3,4,576
3,5,900
3,6,594
3,7,432
3,8,222
3,9,774
4,0,598
4,1,301
4,2,1133
4,3,439
4,4,416
4,5,542
4,6,594
4,7,793
4,8,405
4,9,779
5,0,589
5,1,1046
5,2,587
5,3,434
5,4,405
5,5,183
5,6,591
5,7,800
5,8,585
5,9,780
6,0,583
6,1,1233
6,2,415
6,3,428
6,4,404
6,5,541
6,6,590
6,7,635
6,8,575
6,9,596
7,0,234
7,1,665
7,2,603
7,3,1148
7,4,580
7,5,365
7,6,593
7,7,625
7,8,587
7,9,600
8,0,952
8,1,115
8,2,594
8,3,781
8,4,767
8,5,541
8,6,603
8,7,641
8,8,590
8,9,416
9,0,769
9,1,315
9,2,783
9,3,616
9,4,584
9,5,1083
9,6,584
9,7,441
9,8,416
9,9,409
