rnd_server_id,label_id,img_count
,,count
0,0,253
0,1,293
0,2,258
0,3,266
0,4,253
0,5,235
0,6,264
0,7,268
0,8,255
0,9,255
1,0,353
1,1,403
1,2,351
1,3,375
1,4,350
1,5,325
1,6,353
1,7,380
1,8,354
1,9,356
2,0,243
2,1,271
2,2,241
2,3,244
2,4,230
2,5,216
2,6,237
2,7,252
2,8,229
2,9,237
3,0,412
3,1,474
3,2,412
3,3,428
3,4,404
3,5,379
3,6,422
3,7,435
3,8,412
3,9,422
4,0,275
4,1,314
4,2,280
4,3,289
4,4,276
4,5,253
4,6,269
4,7,293
4,8,274
4,9,277
5,0,237
5,1,272
5,2,238
5,3,244
5,4,232
5,5,217
5,6,233
5,7,251
5,8,233
5,9,243
6,0,256
6,1,291
6,2,257
6,3,268
6,4,258
6,5,234
6,6,256
6,7,268
6,8,257
6,9,255
7,0,220
7,1,245
7,2,222
7,3,225
7,4,213
7,5,198
7,6,217
7,7,233
7,8,210
7,9,217
8,0,339
8,1,379
8,2,338
8,3,346
8,4,328
8,5,309
8,6,334
8,7,356
8,8,330
8,9,341
9,0,334
9,1,386
9,2,341
9,3,342
9,4,331
9,5,307
9,6,336
9,7,357
9,8,330
9,9,336
10,0,315
10,1,361
10,2,321
10,3,323
10,4,310
10,5,289
10,6,314
10,7,336
10,8,310
10,9,321
11,0,360
11,1,405
11,2,351
11,3,369
11,4,348
11,5,326
11,6,357
11,7,380
11,8,352
11,9,352
12,0,236
12,1,268
12,2,236
12,3,247
12,4,236
12,5,218
12,6,240
12,7,245
12,8,235
12,9,239
13,0,333
13,1,379
13,2,343
13,3,346
13,4,336
13,5,306
13,6,333
13,7,351
13,8,333
13,9,340
14,0,338
14,1,379
14,2,336
14,3,348
14,4,334
14,5,309
14,6,337
14,7,354
14,8,334
14,9,331
15,0,259
15,1,294
15,2,260
15,3,262
15,4,254
15,5,235
15,6,254
15,7,270
15,8,255
15,9,257
16,0,373
16,1,426
16,2,379
16,3,388
16,4,370
16,5,343
16,6,381
16,7,396
16,8,370
16,9,374
17,0,253
17,1,291
17,2,257
17,3,267
17,4,252
17,5,236
17,6,252
17,7,278
17,8,252
17,9,262
18,0,279
18,1,318
18,2,276
18,3,283
18,4,270
18,5,252
18,6,272
18,7,297
18,8,275
18,9,278
19,0,255
19,1,293
19,2,261
19,3,271
19,4,257
19,5,234
19,6,257
19,7,265
19,8,251
19,9,256
