metis_server_id,label_id,img_count
,,count
0,0,292
0,1,339
0,2,302
0,3,308
0,4,293
0,5,271
0,6,297
0,7,310
0,8,294
0,9,294
1,0,297
1,1,337
1,2,306
1,3,307
1,4,289
1,5,272
1,6,298
1,7,309
1,8,292
1,9,293
2,0,293
2,1,335
2,2,299
2,3,305
2,4,293
2,5,271
2,6,293
2,7,321
2,8,291
2,9,299
3,0,294
3,1,337
3,2,303
3,3,309
3,4,288
3,5,273
3,6,297
3,7,310
3,8,292
3,9,297
4,0,298
4,1,341
4,2,292
4,3,304
4,4,295
4,5,270
4,6,299
4,7,317
4,8,291
4,9,293
5,0,302
5,1,336
5,2,301
5,3,307
5,4,291
5,5,270
5,6,289
5,7,311
5,8,293
5,9,300
6,0,296
6,1,339
6,2,292
6,3,307
6,4,289
6,5,271
6,6,292
6,7,310
6,8,297
6,9,307
7,0,295
7,1,340
7,2,294
7,3,304
7,4,290
7,5,272
7,6,301
7,7,311
7,8,292
7,9,301
8,0,297
8,1,341
8,2,301
8,3,304
8,4,290
8,5,270
8,6,293
8,7,309
8,8,294
8,9,301
9,0,296
9,1,336
9,2,302
9,3,305
9,4,293
9,5,272
9,6,297
9,7,314
9,8,292
9,9,293
10,0,296
10,1,344
10,2,290
10,3,310
10,4,290
10,5,270
10,6,295
10,7,316
10,8,293
10,9,296
11,0,299
11,1,334
11,2,297
11,3,304
11,4,296
11,5,271
11,6,292
11,7,315
11,8,293
11,9,299
12,0,300
12,1,338
12,2,298
12,3,308
12,4,290
12,5,270
12,6,296
12,7,313
12,8,292
12,9,295
13,0,295
13,1,334
13,2,290
13,3,303
13,4,303
13,5,272
13,6,297
13,7,316
13,8,295
13,9,295
14,0,292
14,1,336
14,2,300
14,3,303
14,4,293
14,5,270
14,6,296
14,7,317
14,8,294
14,9,299
15,0,296
15,1,337
15,2,300
15,3,303
15,4,290
15,5,272
15,6,297
15,7,314
15,8,291
15,9,300
16,0,296
16,1,334
16,2,302
16,3,308
16,4,289
16,5,271
16,6,300
16,7,310
16,8,292
16,9,298
17,0,295
17,1,333
17,2,293
17,3,307
17,4,291
17,5,272
17,6,299
17,7,318
17,8,296
17,9,296
18,0,296
18,1,333
18,2,294
18,3,316
18,4,296
18,5,271
18,6,298
18,7,307
18,8,290
18,9,299
19,0,298
19,1,338
19,2,302
19,3,309
19,4,293
19,5,270
19,6,292
19,7,317
19,8,287
19,9,294
