mip_server_id,label_id,img_count
,,count
0,0,946
0,1,505
0,2,950
0,3,254
0,4,757
0,5,361
0,6,589
0,7,814
0,8,586
0,9,238
1,0,1131
1,1,676
1,2,608
1,3,620
1,4,757
1,5,360
1,6,598
1,7,621
1,8,584
1,9,45
2,0,1138
2,1,493
2,2,791
2,3,416
2,4,763
2,5,363
2,6,593
2,7,617
2,8,765
2,9,61
3,0,766
3,1,661
3,2,776
3,3,435
3,4,771
3,5,363
3,6,583
3,7,626
3,8,598
3,9,421
4,0,772
4,1,666
4,2,592
4,3,613
4,4,588
4,5,544
4,6,598
4,7,818
4,8,399
4,9,410
5,0,602
5,1,676
5,2,603
5,3,631
5,4,399
5,5,721
5,6,579
5,7,805
5,8,223
5,9,761
6,0,56
6,1,1213
6,2,760
6,3,258
6,4,588
6,5,901
6,6,423
6,7,441
6,8,765
6,9,595
7,0,53
7,1,680
7,2,414
7,3,961
7,4,398
7,5,724
7,6,404
7,7,629
7,8,770
7,9,967
8,0,235
8,1,669
8,2,417
8,3,796
8,4,413
8,5,903
8,6,411
8,7,447
8,8,757
8,9,952
9,0,224
9,1,503
9,2,47
9,3,1147
9,4,408
9,5,181
9,6,1140
9,7,447
9,8,404
9,9,1499
