rnd_server_id,label_id,img_count
,,count
0,0,194
0,1,63
0,2,210
0,3,42
0,4,373
0,5,541
0,6,564
0,7,401
0,8,196
0,9,16
1,0,210
1,1,625
1,2,217
1,3,582
1,4,205
1,5,363
1,6,752
1,7,49
1,8,31
1,9,566
2,0,396
2,1,406
2,2,377
2,3,210
2,4,17
2,5,1
2,6,196
2,7,215
2,8,199
2,9,383
3,0,580
3,1,827
3,2,400
3,3,38
3,4,750
3,6,224
3,7,49
3,8,931
3,9,401
4,0,749
4,1,428
4,2,20
4,3,33
4,4,18
4,5,360
4,6,204
4,7,218
4,8,744
4,9,26
5,0,558
5,1,235
5,2,199
5,3,27
5,4,372
5,5,361
5,6,389
5,7,38
5,8,14
5,9,207
6,0,384
6,1,406
6,2,205
6,3,396
6,4,387
6,6,197
6,7,584
6,8,14
6,9,27
7,0,23
7,1,229
7,2,380
7,3,386
7,4,195
7,5,361
7,6,193
7,7,213
7,8,17
7,9,203
8,0,388
8,1,440
8,2,581
8,3,402
8,4,20
8,5,360
8,6,29
8,7,405
8,8,215
8,9,560
9,0,204
9,1,798
9,2,228
9,3,394
9,4,374
9,5,360
9,6,205
9,7,415
9,8,383
9,9,39
10,0,209
10,1,63
10,2,207
10,3,410
10,4,573
10,5,541
10,6,385
10,7,403
10,8,21
10,9,388
11,0,394
11,1,254
11,2,575
11,3,222
11,4,25
11,5,181
11,6,745
11,7,230
11,8,395
11,9,579
12,0,202
12,1,233
12,2,203
12,3,30
12,4,200
12,5,180
12,6,200
12,7,571
12,8,379
12,9,202
13,0,383
13,1,420
13,2,30
13,3,228
13,4,394
13,5,362
13,6,389
13,7,596
13,8,565
13,9,33
14,0,207
14,1,428
14,2,392
14,3,222
14,4,389
14,5,183
14,6,34
14,7,234
14,8,380
14,9,931
15,0,30
15,1,62
15,2,204
15,3,574
15,4,204
15,5,541
15,6,200
15,7,209
15,8,375
15,9,201
16,0,388
16,1,89
16,2,389
16,3,759
16,4,395
16,5,181
16,6,220
16,7,410
16,8,211
16,9,758
17,0,17
17,1,62
17,2,379
17,3,389
17,4,373
17,5,183
17,6,203
17,7,409
17,8,563
17,9,22
18,0,388
18,1,257
18,2,200
18,3,211
18,4,381
18,5,181
18,6,199
18,7,579
18,8,204
18,9,200
19,0,19
19,1,417
19,2,562
19,3,576
19,4,197
19,5,181
19,6,390
19,7,37
19,8,14
19,9,207
