metis_server_id,label_id,img_count
,,count
0,0,383
0,1,436
0,2,210
0,3,208
0,4,383
0,5,180
0,6,209
0,7,221
0,8,389
0,9,381
1,0,208
1,1,779
1,2,209
1,3,214
1,4,204
1,5,180
1,6,387
1,7,229
1,8,375
1,9,215
2,0,209
2,1,246
2,2,565
2,3,213
2,4,379
2,5,361
2,6,382
2,7,237
2,8,199
2,9,209
3,0,204
3,1,74
3,2,210
3,3,403
3,4,380
3,5,721
3,6,205
3,7,391
3,8,207
3,9,205
4,0,383
4,1,67
4,2,559
4,3,225
4,4,205
4,5,361
4,6,209
4,7,220
4,8,377
4,9,394
5,0,570
5,1,417
5,2,390
5,3,40
5,4,384
5,5,182
5,6,205
5,7,220
5,8,386
5,9,206
6,0,568
6,1,432
6,2,32
6,3,402
6,4,377
6,5,361
6,6,203
6,7,220
6,8,200
6,9,205
7,0,27
7,1,602
7,2,202
7,3,49
7,4,210
7,5,181
7,6,383
7,7,403
7,8,377
7,9,566
8,0,35
8,1,67
8,2,385
8,3,582
8,4,200
8,5,360
8,6,383
8,7,399
8,8,382
8,9,207
9,0,24
9,1,241
9,2,38
9,3,750
9,4,200
9,5,542
9,6,385
9,7,222
9,8,204
9,9,394
10,0,202
10,1,432
10,2,383
10,3,216
10,4,203
10,5,2
10,6,214
10,7,402
10,8,381
10,9,565
11,0,384
11,1,617
11,2,206
11,3,216
11,4,200
11,5,181
11,6,199
11,7,404
11,8,382
11,9,211
12,0,211
12,1,243
12,2,211
12,3,385
12,4,385
12,5,181
12,6,388
12,7,220
12,8,204
12,9,572
13,0,389
13,1,234
13,2,389
13,3,222
13,4,208
13,5,361
13,6,559
13,7,229
13,8,204
13,9,205
14,0,385
14,1,74
14,2,386
14,3,390
14,4,384
14,5,180
14,6,219
14,7,397
14,8,204
14,9,381
15,0,205
15,1,602
15,2,385
15,3,211
15,4,210
15,5,1
15,6,204
15,7,588
15,8,382
15,9,212
16,0,386
16,1,610
16,2,208
16,3,396
16,4,194
16,5,183
16,6,210
16,7,407
16,8,204
16,9,202
17,0,382
17,1,434
17,2,391
17,3,218
17,4,377
17,5,180
17,6,207
17,7,229
17,8,382
17,9,200
18,0,385
18,1,62
18,2,386
18,3,394
18,4,203
18,5,362
18,6,390
18,7,406
18,8,202
18,9,210
19,0,383
19,1,73
19,2,213
19,3,397
19,4,556
19,5,361
19,6,377
19,7,221
19,8,210
19,9,209
